station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41090,Monroe/State,11/01/2002,"6,520","2,754.6","1,489.4","151,619"
40560,Jackson/State,11/01/2002,"13,123.6","4,883.8","2,787.4","300,827"
40370,Washington/Dearborn,11/01/2002,"9,521.5","3,417.4","1,744","216,237"
40790,Monroe/Dearborn,11/01/2002,"5,657.2","1,273.6",750.8,"123,266"
40070,Jackson/Dearborn,11/01/2002,"9,249.4","3,056.2","2,000.2","210,270"
40730,Washington/Wells,11/01/2002,"6,923.6",777.6,421.4,"144,466"
40040,Quincy/Wells,11/01/2002,"7,130.3","1,034.2",715.2,"151,353"
40160,LaSalle/Van Buren,11/01/2002,"3,079.6",299.4,166.2,"63,920"
40850,Library,11/01/2002,"2,674.4",920.4,512.8,"60,653"
40680,Adams/Wabash,11/01/2002,"7,155.2","2,693.8","1,368.8","163,417"
40260,State/Lake,11/01/2002,"8,778.4","4,987.8","3,131.4","216,164"
40380,Clark/Lake,11/01/2002,"14,948.3","3,178.8","2,026.6","324,992"
41660,Lake/State,12/01/2002,"12,836.1","7,167.8","4,189.8","323,369"
41090,Monroe/State,12/01/2002,"6,182.8","2,722.5","1,367.3","148,932"
40560,Jackson/State,12/01/2002,"10,369.8","4,143.3","2,221.8","247,670"
40370,Washington/Dearborn,12/01/2002,"9,326.3","4,086.8","2,145.5","225,073"
40790,Monroe/Dearborn,12/01/2002,"5,143.1","1,319",676.3,"117,339"
40070,Jackson/Dearborn,12/01/2002,"7,691.3","2,745.5","1,621","182,226"
40730,Washington/Wells,12/01/2002,"6,109.9",728.8,379.2,"133,497"
40040,Quincy/Wells,12/01/2002,"6,259.9",893,610,"138,689"
40160,LaSalle/Van Buren,12/01/2002,"2,807.3",280.8,135,"60,886"
40850,Library,12/01/2002,"2,139.5",794.8,324.3,"50,054"
40680,Adams/Wabash,12/01/2002,"5,764.9","2,337.3","1,038.3","136,642"
40260,State/Lake,12/01/2002,"7,759.1","4,494.5","2,760.3","197,482"
40380,Clark/Lake,12/01/2002,"13,618.3","2,981.8","1,809.2","308,766"
41660,Lake/State,01/01/2003,"12,492.2","5,519.3","3,700.8","315,410"
41090,Monroe/State,01/01/2003,"6,160.3","2,292.8","1,301.6","151,205"
40560,Jackson/State,01/01/2003,"12,114.8","3,623.8","2,011.2","291,077"
40370,Washington/Dearborn,01/01/2003,"8,649.7","2,362","1,352.6","206,505"
40790,Monroe/Dearborn,01/01/2003,"5,330.2","1,053",679.8,"124,875"
40070,Jackson/Dearborn,01/01/2003,"8,414.3","2,523.3","1,579.4","203,105"
40730,Washington/Wells,01/01/2003,"6,740.4",651.3,312.4,"152,455"
40040,Quincy/Wells,01/01/2003,"7,016.1",838,551.8,"160,465"
40160,LaSalle/Van Buren,01/01/2003,"3,113.5",266,137.8,"70,249"
40850,Library,01/01/2003,"2,405.8",723.3,332.8,"57,484"
40680,Adams/Wabash,01/01/2003,"6,533.1","1,999.3",993.6,"156,694"
40260,State/Lake,01/01/2003,"7,485.1","3,380","2,397.6","190,181"
40380,Clark/Lake,01/01/2003,"14,145.1","2,265.8","1,659.6","328,554"
41660,Lake/State,02/01/2003,"13,018.2","6,224.5","3,962.8","301,113"
41090,Monroe/State,02/01/2003,"6,461.4","2,592","1,443.8","145,371"
40560,Jackson/State,02/01/2003,"11,616.8","3,766.3","2,100.5","255,802"
